Артикул,Ozon Product ID,FBO OZON SKU ID,FBS OZON SKU ID,Barcode,Наименование товара,Контент-рейтинг,Бренд,Статус товара,Видимость FBO,Причины скрытия FBO (при наличии),Видимость FBS,Причины скрытия FBS (при наличии),Дата создания,Коммерческая категория,"Объем товара, л","Объемный вес, кг","Доступно на складе Ozon, шт","Вывезти и нанести КИЗ (кроме Твери), шт","Зарезервировано, шт","Доступно на моих складах, шт","Зарезервировано на моих складах, шт","Текущая цена с учетом скидки, руб.","Цена до скидки (перечеркнутая цена), руб.","Цена Premium, руб.","Рыночная цена, руб.",Актуальная ссылка на рыночную цену,"Размер НДС, %"
68065b7a-0069-11ea-a9ac-000c296512e3,316211652,631623712,631623711,4620003278587,triol будка деревянная для собак 820x1000x900 мм,30,Triol,Готов к продаже,Показывается,,Показывается,,2022-07-01 9:04:11,Будка для животных,738.0,147.6,0,0,0,0,0,12556.0,,,,,20%
68065b79-0069-11ea-a9ac-000c296512e3,316211653,631654171,631654170,4620003278549,triol будка деревянная для собак 760x880x810 мм,30,Triol,Готов к продаже,Показывается,,Показывается,,2022-07-01 9:04:11,Будка для животных,541.73,108.3,0,0,0,0,0,10995.0,,,,,20%
68065b78-0069-11ea-a9ac-000c296512e3,316211654,631653158,631653157,4620003278525,triol будка деревянная для собак 700x760x760 мм,30,Triol,Готов к продаже,Показывается,,Показывается,,2022-07-01 9:04:11,Будка для животных,404.32,80.9,0,0,0,0,0,9125.0,,,,,20%
5a929e03-ead2-4265-8608-07eafe948927,316211655,631654180,631654182,6942453330188,triol будка деревянная для собак 1037x660x770 мм,30,Triol,Готов к продаже,Показывается,,Показывается,,2022-07-01 9:04:11,Будка для животных,527.0,105.4,0,0,0,0,0,12427.0,,,,,20%
5bee73ca-02ba-11ea-a9ac-000c296512e3,316230341,631651185,631651186,4048422141105,furminator short hair l фурминатор для собак крупных короткошерстных пород 50х167х224 мм,10,FURminator,Готов к продаже,Показывается,,Показывается,,2022-07-01 9:39:26,Дешеддер,1.87,0.4,0,0,0,0,0,7945.0,,,,,20%
e9560a59-02b7-11ea-a9ac-000c296512e3,316230342,631732083,631732084,4048422137375,furminator furflex насадка против линьки для кошек крупных пород l,25,FURminator,Готов к продаже,Показывается,,Показывается,,2022-07-01 9:39:26,Дешеддер,0.98,0.2,0,0,0,0,0,446.0,,,,,20%
bf193ebd-8f47-455c-a326-0d9560de5255,316230343,631651194,631651193,8117940111856,furminator short hair фурминатор для карликовых собак короткошерстных пород 0.11,5,FURminator,Готов к продаже,Показывается,,Показывается,,2022-07-01 9:39:26,Дешеддер,1.94,0.4,0,0,0,0,0,1291.0,,,,,20%
e9560a5a-02b7-11ea-a9ac-000c296512e3,316230344,631719616,631719615,4048422136828,furminator furflex насадка против линьки для собак крупных пород 0.114,10,FURminator,Готов к продаже,Показывается,,Показывается,,2022-07-01 9:39:26,Дешеддер,1.08,0.2,0,0,0,0,0,572.0,,,,,20%
5bee73d0-02ba-11ea-a9ac-000c296512e3,316230345,631655330,631655329,4048422141259,furminator short hair m/l фурминатор для кошек крупных и средних короткошерстных пород 50х127х224 мм,10,FURminator,Готов к продаже,Показывается,,Показывается,,2022-07-01 9:39:26,Дешеддер,1.42,0.3,0,0,0,0,0,5754.0,,,,,20%
5bee73d4-02ba-11ea-a9ac-000c296512e3,316230346,631719620,631719619,4048422141228,furminator long hair s фурминатор для кошек малых длинношерстных пород 50х127х224 мм,10,FURminator,Готов к продаже,Показывается,,Показывается,,2022-07-01 9:39:26,Дешеддер,1.42,0.3,0,0,0,0,0,5345.0,,,,,20%
